date,open,high,low,close,volume
1711128600,171.75999450684,173.05000305176,170.05999755859,172.2799987793,71106600
1711042200,177.05000305176,177.49000549316,170.83999633789,171.36999511719,106181300
1710955800,175.7200012207,178.66999816895,175.08999633789,178.66999816895,53423100
1710869400,174.33999633789,176.61000061035,173.0299987793,176.08000183105,55215200
1710783000,175.57000732422,177.71000671387,173.52000427246,173.7200012207,75604200
1710523800,171.16999816895,172.61999511719,170.28999328613,172.61999511719,121664700
1710437400,172.91000366211,174.30999755859,172.05000305176,173,72913500
1710351000,172.77000427246,173.19000244141,170.75999450684,171.13000488281,52488700
1710264600,173.14999389648,174.0299987793,171.00999450684,173.22999572754,59825400
1710178200,172.94000244141,174.38000488281,172.05000305176,172.75,60139500
1709922600,169,173.69999694824,168.94000244141,170.72999572754,76114600
1709836200,169.14999389648,170.72999572754,168.49000549316,169,71765100
1709749800,171.05999755859,171.24000549316,168.67999267578,169.11999511719,68587700
1709663400,170.75999450684,172.03999328613,169.61999511719,170.11999511719,95132400
1709577000,176.14999389648,176.89999389648,173.78999328613,175.10000610352,81510100
1709317800,179.55000305176,180.5299987793,177.38000488281,179.66000366211,73488000
1709231400,181.27000427246,182.57000732422,179.5299987793,180.75,136682600
1709145000,182.50999450684,183.11999511719,180.13000488281,181.41999816895,48953900
1709058600,181.10000610352,183.91999816895,179.55999755859,182.63000488281,54318900
1708972200,182.24000549316,182.75999450684,180.64999389648,181.16000366211,40867400
1708713000,185.00999450684,185.03999328613,182.22999572754,182.52000427246,45119700
1708626600,183.47999572754,184.96000671387,182.46000671387,184.36999511719,52292200
1708540200,181.94000244141,182.88999938965,180.66000366211,182.32000732422,41529700
1708453800,181.78999328613,182.42999267578,180,181.55999755859,53665600
1708108200,183.41999816895,184.85000610352,181.66999816895,182.30999755859,49701400
1708021800,183.55000305176,184.49000549316,181.35000610352,183.86000061035,65434500
1707935400,185.32000732422,185.5299987793,182.44000244141,184.14999389648,54630500
1707849000,185.77000427246,186.21000671387,183.50999450684,185.03999328613,56529500
1707762600,188.41999816895,188.66999816895,186.78999328613,187.14999389648,41781900
